"half","fivek"
5160,1101
4260,759
5280,1063
4380,1007
5220,994
5400,1198
4320,985
4920,1090
6480,1352
6304,1285
5016,1076
9205,1934
6241,1304
6457,1405
6240,1411
5375,1188
7550,1521
8102,1592
7234,1337
6002,1264
7863,1594
6904,1367
5119,1018
6041,1241
5020,1092
5886,1332
6904,1259
6759,1399
7883,1661
8305,1648
6996,1405
4692,1045
7385,1580
6591,1461
6499,1453
7033,1413
4998,1101
6002,1264
5388,1156
5227,1151
6696,1400
6041,1241
7234,1337
5213,1101
6002,1264
6099,1219
5394,833
7269,1543
5806,1151
